epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,418.357,0.88368,1.84433,0.60965,1.04721,0,0.82106,0.70179,0.79586,0.59431,0.81675,0.69567,0.78687,0.48425,0.91552,1.91845,0.6566,1.12123,0,0.00129374,0.00129374,0.00129374
50,427.227,0.88125,1.82304,0.59343,1.0446,0,0.78064,0.71262,0.75595,0.5671,0.77148,0.70107,0.74287,0.44684,0.91773,1.95243,0.73837,1.1267,0,0.00129092,0.00129092,0.00129092
51,435.652,0.87455,1.80945,0.58204,1.04011,0,0.76955,0.74393,0.74076,0.55133,0.76925,0.73075,0.72984,0.45697,0.92579,1.88713,0.78024,1.12547,0,0.0012881,0.0012881,0.0012881
52,443.334,0.87635,1.82143,0.58671,1.04047,0,0.79457,0.73465,0.80365,0.59595,0.78646,0.73053,0.79072,0.4841,0.91548,1.9247,0.65241,1.12869,0,0.00128528,0.00128528,0.00128528
53,452.811,0.87024,1.80784,0.57996,1.03818,0,0.7783,0.74673,0.788,0.59154,0.77502,0.7417,0.78008,0.49778,0.93079,1.89323,0.69076,1.12913,0,0.00128247,0.00128247,0.00128247
54,460.373,0.86438,1.80906,0.57564,1.03652,0,0.77328,0.73265,0.79355,0.57991,0.76729,0.72605,0.78321,0.46987,0.97527,1.99507,0.67995,1.16016,0,0.00127965,0.00127965,0.00127965
55,468.599,0.8745,1.79974,0.56965,1.0393,0,0.74558,0.75534,0.75938,0.57102,0.7416,0.75105,0.75126,0.47071,0.9109,1.87116,0.73068,1.11586,0,0.00127683,0.00127683,0.00127683
56,477.112,0.86746,1.81571,0.56784,1.03218,0,0.78752,0.72619,0.79725,0.59761,0.79471,0.71077,0.78751,0.49724,0.91425,1.85425,0.67685,1.11986,0,0.00127401,0.00127401,0.00127401
57,486.04,0.85561,1.78836,0.5703,1.03295,0,0.7111,0.71682,0.73092,0.53298,0.8103,0.64135,0.72036,0.45077,0.94512,1.88559,0.78893,1.15101,0,0.00127119,0.00127119,0.00127119
58,493.959,0.84083,1.77399,0.57078,1.02865,0,0.80227,0.7163,0.77846,0.57949,0.78787,0.70404,0.75939,0.46739,0.9372,1.89089,0.67233,1.14198,0,0.00126838,0.00126838,0.00126838
59,501.994,0.86034,1.80724,0.56955,1.03267,0,0.78358,0.72868,0.78183,0.5916,0.7785,0.72396,0.77134,0.48848,0.92676,1.86421,0.66825,1.12911,0,0.00126556,0.00126556,0.00126556
60,510.502,0.85198,1.79557,0.57317,1.0303,0,0.74381,0.72358,0.76227,0.56815,0.7395,0.71791,0.75047,0.46221,0.92057,1.91774,0.69948,1.12356,0,0.00126274,0.00126274,0.00126274
61,519.05,0.84981,1.76366,0.57036,1.025,0,0.77125,0.72235,0.77044,0.57975,0.76806,0.71272,0.75637,0.47504,0.92745,1.89193,0.68273,1.13454,0,0.00125992,0.00125992,0.00125992
62,527.35,0.86488,1.80661,0.57058,1.04028,0,0.77123,0.72627,0.78038,0.5828,0.82149,0.67597,0.76346,0.47147,0.93201,1.91619,0.69871,1.14127,0,0.0012571,0.0012571,0.0012571
63,535.95,0.84138,1.77522,0.55713,1.02531,0,0.76594,0.77187,0.7893,0.59721,0.76492,0.76052,0.77687,0.49238,0.90684,1.83652,0.66838,1.11989,0,0.00125429,0.00125429,0.00125429
64,544.679,0.84611,1.79085,0.55388,1.02657,0,0.76297,0.77809,0.78822,0.59254,0.75409,0.76783,0.77639,0.49097,0.93018,1.90783,0.66437,1.12707,0,0.00125147,0.00125147,0.00125147
65,553.123,0.82764,1.74079,0.55375,1.01865,0,0.79922,0.7201,0.78623,0.58617,0.7732,0.72787,0.77404,0.47573,0.94435,1.88053,0.69285,1.14774,0,0.00124865,0.00124865,0.00124865
66,561.639,0.84328,1.77513,0.54708,1.02306,0,0.7885,0.717,0.77356,0.58497,0.79343,0.7011,0.76416,0.4804,0.90243,1.88485,0.7037,1.11908,0,0.00124583,0.00124583,0.00124583
67,570.416,0.83193,1.76257,0.55653,1.01944,0,0.76852,0.70091,0.74764,0.55783,0.75892,0.69133,0.7329,0.45209,0.94269,1.92164,0.74334,1.14921,0,0.00124301,0.00124301,0.00124301
68,578.217,0.82949,1.75495,0.55328,1.01978,0,0.75412,0.71171,0.75839,0.56265,0.74457,0.70407,0.7469,0.46075,0.92778,1.86682,0.72195,1.13488,0,0.0012402,0.0012402,0.0012402
69,586.394,0.83822,1.78278,0.54522,1.02253,0,0.79068,0.76485,0.79189,0.60191,0.78657,0.76038,0.78385,0.49688,0.90378,1.83089,0.65529,1.12235,0,0.00123738,0.00123738,0.00123738
70,594.181,0.82456,1.7325,0.54259,1.01744,0,0.77128,0.78566,0.79175,0.5988,0.76342,0.77727,0.78006,0.49685,0.91604,1.89001,0.67391,1.12602,0,0.00123456,0.00123456,0.00123456
71,602.477,0.82474,1.74467,0.52543,1.01236,0,0.78169,0.73863,0.76906,0.58277,0.77215,0.72903,0.75749,0.47349,0.91475,1.88505,0.74109,1.1299,0,0.00123174,0.00123174,0.00123174
72,611.522,0.83168,1.76339,0.53769,1.02136,0,0.69874,0.70534,0.63595,0.47045,0.70205,0.70124,0.63127,0.40238,0.90759,1.86987,0.93498,1.12481,0,0.00122892,0.00122892,0.00122892
73,619.987,0.81701,1.74974,0.53296,1.01683,0,0.74171,0.77635,0.78649,0.60113,0.73863,0.76992,0.77622,0.49329,0.89816,1.81645,0.65017,1.11355,0,0.00122611,0.00122611,0.00122611
74,628.622,0.82114,1.71197,0.53466,1.01687,0,0.79772,0.78269,0.8121,0.62074,0.79643,0.781,0.80775,0.52349,0.90452,1.84338,0.65644,1.12423,0,0.00122329,0.00122329,0.00122329
75,636.793,0.82659,1.77271,0.52744,1.01257,0,0.79075,0.77982,0.78675,0.5933,0.78885,0.76656,0.77637,0.48728,0.92069,1.89625,0.67145,1.14518,0,0.00122047,0.00122047,0.00122047
76,644.455,0.82323,1.73411,0.53141,1.01349,0,0.7655,0.71812,0.73813,0.55211,0.75069,0.71107,0.72577,0.45784,0.90756,1.83872,0.76146,1.12293,0,0.00121765,0.00121765,0.00121765
77,653.547,0.81885,1.74544,0.53513,1.01082,0,0.75078,0.71701,0.73759,0.55162,0.74044,0.7089,0.72416,0.44891,0.90223,1.87872,0.74305,1.11834,0,0.00121484,0.00121484,0.00121484
78,661.759,0.80698,1.72029,0.52251,1.01184,0,0.77932,0.69328,0.75629,0.57042,0.77265,0.68438,0.74586,0.46739,0.90295,1.88115,0.72165,1.11836,0,0.00121202,0.00121202,0.00121202
79,669.86,0.81078,1.73569,0.51986,1.00911,0,0.75312,0.74917,0.75965,0.57856,0.75086,0.74662,0.75599,0.48076,0.8984,1.84292,0.69656,1.12054,0,0.0012092,0.0012092,0.0012092
80,679.22,0.80653,1.72991,0.51323,1.00933,0,0.7828,0.73608,0.76649,0.57474,0.77679,0.73046,0.7589,0.48226,0.92447,1.83405,0.69554,1.13637,0,0.00120638,0.00120638,0.00120638
81,686.963,0.81355,1.74102,0.51822,1.01124,0,0.73764,0.75898,0.77075,0.58315,0.77059,0.71873,0.76065,0.47793,0.91612,1.86706,0.68029,1.13249,0,0.00120356,0.00120356,0.00120356
82,695.4,0.80704,1.73204,0.52035,1.00877,0,0.80433,0.71619,0.78508,0.59435,0.80578,0.70394,0.77504,0.48722,0.90069,1.84329,0.68633,1.12586,0,0.00120075,0.00120075,0.00120075
83,703.692,0.81333,1.76433,0.50864,1.00639,0,0.78656,0.71192,0.73807,0.56423,0.78317,0.70353,0.72616,0.45845,0.89822,1.83955,0.70315,1.11437,0,0.00119793,0.00119793,0.00119793
84,711.764,0.80116,1.71937,0.50941,1.00058,0,0.78376,0.75198,0.79201,0.60078,0.77588,0.74304,0.77944,0.49507,0.9056,1.84229,0.68449,1.12509,0,0.00119511,0.00119511,0.00119511
85,720.217,0.79728,1.71781,0.50979,1.00003,0,0.7914,0.71772,0.7442,0.56123,0.78038,0.70651,0.7302,0.46455,0.91705,1.83823,0.76523,1.1324,0,0.00119229,0.00119229,0.00119229
86,728.709,0.79148,1.70467,0.50673,0.99996,0,0.81633,0.70706,0.77733,0.58378,0.80641,0.69878,0.76687,0.48676,0.91815,1.85701,0.67126,1.14317,0,0.00118947,0.00118947,0.00118947
87,737.403,0.79199,1.70096,0.51385,0.99555,0,0.78027,0.74288,0.79168,0.59474,0.77215,0.73524,0.78108,0.49528,0.91761,1.8544,0.66114,1.13047,0,0.00118666,0.00118666,0.00118666
88,746.406,0.81179,1.73168,0.522,1.00424,0,0.7233,0.76827,0.75656,0.5737,0.74079,0.7358,0.74327,0.46695,0.90554,1.87181,0.69135,1.13158,0,0.00118384,0.00118384,0.00118384
89,754.665,0.8013,1.73675,0.51762,1.00469,0,0.81611,0.69768,0.74902,0.55288,0.8081,0.6859,0.73346,0.45264,0.94381,1.89867,0.73686,1.161,0,0.00118102,0.00118102,0.00118102
90,762.96,0.79331,1.70307,0.50304,0.99717,0,0.80026,0.73615,0.79012,0.59886,0.81557,0.71466,0.78305,0.49581,0.90632,1.83948,0.67692,1.12561,0,0.0011782,0.0011782,0.0011782
91,771.122,0.79476,1.71031,0.50024,0.99787,0,0.76786,0.73882,0.76727,0.5738,0.76124,0.73261,0.75807,0.48026,0.92763,1.85193,0.67279,1.14673,0,0.00117538,0.00117538,0.00117538
92,779.602,0.7876,1.71337,0.50513,0.99393,0,0.8225,0.74025,0.78417,0.58923,0.81644,0.73412,0.77298,0.48703,0.90647,1.85238,0.65608,1.12975,0,0.00117257,0.00117257,0.00117257
93,787.545,0.7837,1.72126,0.5024,0.99945,0,0.78574,0.73714,0.76848,0.57441,0.77851,0.71792,0.75298,0.47357,0.95138,1.90293,0.71513,1.16935,0,0.00116975,0.00116975,0.00116975
94,795.591,0.78755,1.71034,0.49169,0.99755,0,0.75738,0.7343,0.74476,0.56084,0.75587,0.72343,0.73433,0.45854,0.9082,1.83555,0.69134,1.13279,0,0.00116693,0.00116693,0.00116693
