epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
62,552.475,0.83348,1.83499,0.56694,1.03553,0,0.77733,0.75975,0.80171,0.6281,0.77007,0.75261,0.79008,0.52505,0.85746,1.81917,0.64341,1.02625,0,0.000997513,0.000997513,0.000997513
63,561.342,0.81951,1.82499,0.56161,1.02481,0,0.80018,0.76354,0.79424,0.61843,0.79545,0.75619,0.78448,0.51418,0.86178,1.86896,0.68138,1.03013,0,0.00099044,0.00099044,0.00099044
64,570.531,0.8264,1.82964,0.55457,1.0248,0,0.76055,0.74713,0.78223,0.61464,0.75857,0.74488,0.77681,0.51314,0.86256,1.83072,0.68212,1.02199,0,0.000983366,0.000983366,0.000983366
65,579.635,0.80349,1.76637,0.55354,1.01648,0,0.8021,0.71055,0.7781,0.60896,0.79823,0.7039,0.77042,0.50739,0.8742,1.87142,0.70958,1.01796,0,0.000976293,0.000976293,0.000976293
66,588.255,0.82051,1.81066,0.54926,1.01881,0,0.7506,0.73963,0.78995,0.61553,0.74502,0.73403,0.77975,0.5063,0.87211,1.84707,0.66213,1.03128,0,0.000969219,0.000969219,0.000969219
67,597.109,0.8074,1.7961,0.55544,1.01515,0,0.7805,0.7445,0.7755,0.60884,0.77238,0.73258,0.76681,0.50076,0.86544,1.83691,0.69743,1.02545,0,0.000962146,0.000962146,0.000962146
68,605.221,0.80839,1.78931,0.55361,1.01993,0,0.81636,0.72902,0.79436,0.61497,0.81216,0.72448,0.7873,0.5055,0.87628,1.87068,0.68253,1.02832,0,0.000955072,0.000955072,0.000955072
69,613.741,0.81619,1.82839,0.54861,1.02286,0,0.75024,0.73693,0.76749,0.58189,0.7493,0.73413,0.75805,0.47883,0.9142,1.94884,0.73263,1.05192,0,0.000947999,0.000947999,0.000947999
70,622.031,0.80293,1.77087,0.5429,1.01904,0,0.77706,0.76869,0.79193,0.62035,0.77798,0.75943,0.77987,0.50174,0.85746,1.87595,0.6536,1.02948,0,0.000940925,0.000940925,0.000940925
71,630.755,0.80522,1.78942,0.53281,1.01571,0,0.81508,0.71356,0.7725,0.60163,0.75075,0.76157,0.76522,0.49596,0.87058,1.87293,0.68958,1.0282,0,0.000933851,0.000933851,0.000933851
72,639.552,0.80533,1.80381,0.54476,1.01539,0,0.79401,0.71727,0.76692,0.59976,0.791,0.71312,0.75939,0.4922,0.8544,1.82342,0.7047,1.02548,0,0.000926778,0.000926778,0.000926778
73,648.073,0.79381,1.79824,0.53731,1.01344,0,0.78684,0.71833,0.78294,0.61303,0.78327,0.71456,0.77678,0.50208,0.86816,1.85794,0.67229,1.02005,0,0.000919704,0.000919704,0.000919704
74,656.901,0.80754,1.76186,0.5447,1.01652,0,0.7746,0.76211,0.78874,0.61916,0.76999,0.75757,0.78128,0.50923,0.85945,1.85737,0.69501,1.0195,0,0.000912631,0.000912631,0.000912631
75,665.435,0.79602,1.79813,0.52323,1.00862,0,0.77339,0.72328,0.77575,0.60493,0.76951,0.715,0.76729,0.50122,0.86158,1.81784,0.67091,1.01413,0,0.000905557,0.000905557,0.000905557
76,673.495,0.7934,1.77357,0.52641,1.00771,0,0.7592,0.75201,0.77262,0.59545,0.75974,0.74999,0.76817,0.49576,0.88811,1.84341,0.69124,1.03365,0,0.000898484,0.000898484,0.000898484
77,683.151,0.7896,1.78424,0.52479,1.0056,0,0.75575,0.75445,0.77655,0.59651,0.74853,0.74573,0.76489,0.49683,0.91661,1.93553,0.72885,1.06498,0,0.00089141,0.00089141,0.00089141
